"site_name","year","species","acorn_count","mean_max_April_temp","mean_max_March_temp","March_rain","April_rain","March_rain_lagged1","April_rain_lagged1","mean_max_summer_temp"
"DYE CREEK",2007,"Q. lobata",3.933,2158,2215,1764,5248,21635,19536,3203
"DYE CREEK",2008,"Q. lobata",0.908,2119,1913,1125,967,1764,5248,3211
"DYE CREEK",2009,"Q. lobata",3.521,2134,1783,8701,1669,1125,967,3167
"DYE CREEK",2010,"Q. lobata",1.386,1694,1723,6590,12725,8701,1669,2952
"DYE CREEK",2011,"Q. lobata",1.758,1826,1428,21683,3810,6590,12725,2852
"SIERRA FOOT",1994,"Q. douglasii",2.973,2100,1990,3005,5904,10648,7223,3092
"SIERRA FOOT",1995,"Q. douglasii",0,1887,1504,42358,8423,3005,5904,2886
"SIERRA FOOT",1996,"Q. douglasii",2.765,2101,1875,8848,13675,42358,8423,3156
"SIERRA FOOT",1997,"Q. douglasii",1.028,2085,2018,3837,2609,8848,13675,3071
"SIERRA FOOT",1998,"Q. douglasii",0.029,1731,1670,11772,10256,3837,2609,2813
"SIERRA FOOT",1999,"Q. douglasii",2.133,1883,1442,6482,5501,11772,10256,2939
"SIERRA FOOT",2000,"Q. douglasii",3.368,2181,1730,9869,5712,6482,5501,3060
"SIERRA FOOT",2001,"Q. douglasii",1.776,1807,1913,7442,6393,9869,5712,3223
"SIERRA FOOT",2002,"Q. douglasii",1.995,2040,1672,13989,2451,7442,6393,3133
"SIERRA FOOT",2003,"Q. douglasii",0.368,1507,1780,9624,17786,13989,2451,3095
"SIERRA FOOT",2004,"Q. douglasii",3.337,2166,2210,3772,1137,9624,17786,3107
"SIERRA FOOT",2005,"Q. douglasii",1.188,1910,1845,16613,4483,3772,1137,3040
"SIERRA FOOT",2006,"Q. douglasii",0,1728,1257,26413,20998,16613,4483,3215
"SIERRA FOOT",2007,"Q. douglasii",2.303,2200,2223,2064,6832,26413,20998,3214
"SIERRA FOOT",2008,"Q. douglasii",2.18,2149,1917,808,816,2064,6832,3251
"SIERRA FOOT",2009,"Q. douglasii",1.345,2005,1795,8006,2356,808,816,3145
"SIERRA FOOT",2010,"Q. douglasii",1.722,1657,1714,7347,18521,8006,2356,2975
"SIERRA FOOT",2011,"Q. douglasii",1.723,1823,1462,30435,3195,7347,18521,2841
"SIERRA FOOT",2001,"Q. lobata",2.776,1807,1913,7442,6393,9869,5712,3223
"SIERRA FOOT",2002,"Q. lobata",3.534,2040,1672,13989,2451,7442,6393,3133
"SIERRA FOOT",2003,"Q. lobata",0.077,1507,1780,9624,17786,13989,2451,3095
"SIERRA FOOT",2004,"Q. lobata",2.849,2166,2210,3772,1137,9624,17786,3107
"SIERRA FOOT",2005,"Q. lobata",0.725,1910,1845,16613,4483,3772,1137,3040
"SIERRA FOOT",2006,"Q. lobata",0.154,1728,1257,26413,20998,16613,4483,3215
"SIERRA FOOT",2007,"Q. lobata",4.049,2200,2223,2064,6832,26413,20998,3214
"SIERRA FOOT",2008,"Q. lobata",1.688,2149,1917,808,816,2064,6832,3251
"SIERRA FOOT",2009,"Q. lobata",2.93,2005,1795,8006,2356,808,816,3145
"SIERRA FOOT",2010,"Q. lobata",2.001,1657,1714,7347,18521,8006,2356,2975
"SIERRA FOOT",2011,"Q. lobata",1.707,1823,1462,30435,3195,7347,18521,2841
"SAN JOAQUIN",1994,"Q. douglasii",3.254,2308,1936,1250,4728,7310,860,3355
"SAN JOAQUIN",1995,"Q. douglasii",0,2045,1646,24121,4758,1250,4728,3153
"SAN JOAQUIN",1996,"Q. douglasii",2.467,2300,1842,6866,4194,24121,4758,3427
"SAN JOAQUIN",1997,"Q. douglasii",0.175,2393,2210,315,136,6866,4194,3385
"SAN JOAQUIN",1998,"Q. douglasii",0.235,1927,1765,12859,6324,315,136,3082
"SAN JOAQUIN",1999,"Q. douglasii",3.718,1971,1687,3071,4991,12859,6324,3215
"SAN JOAQUIN",2000,"Q. douglasii",1.771,2385,1787,5309,6695,3071,4991,3373
"SAN JOAQUIN",2001,"Q. douglasii",1.647,2018,1951,4537,5583,5309,6695,3523
"SAN JOAQUIN",2002,"Q. douglasii",2.4,2267,1790,4468,1658,4537,5583,3397
"SAN JOAQUIN",2003,"Q. douglasii",0,1895,1989,3270,7539,4468,1658,3406
"SAN JOAQUIN",2004,"Q. douglasii",2.407,2511,2323,2958,347,3270,7539,3406
"SAN JOAQUIN",2005,"Q. douglasii",0.346,2050,1880,10697,1840,2958,347,3356
"SAN JOAQUIN",2006,"Q. douglasii",0.192,2027,1513,12944,14889,10697,1840,3544
